,D0_n,D0_l,D0_p,iPSCs_n,iPSCs_l,iPSCs_p
2982,Ahcyl2,,3.8387199569255196e-59,Ahcyl2,,3.8387199569255196e-59
2983,B3gnt9,,1.3915767577519468e-59,B3gnt9,,1.3915767577519468e-59
2984,Sorcs2,,2.8037498882378586e-59,Sorcs2,,2.8037498882378586e-59
2985,Ube2t,,1.389378502377515e-59,Ube2t,,1.389378502377515e-59
2986,Eef1e1,,1.1430099027873184e-59,Eef1e1,,1.1430099027873184e-59
2987,Ccnh,,1.382212873477665e-59,Ccnh,,1.382212873477665e-59
2988,Cltc,,1.0782386393900545e-59,Cltc,,1.0782386393900545e-59
2989,Pccb,,3.1009034483213695e-59,Pccb,,3.1009034483213695e-59
2990,Cenpu,,2.246270719168144e-59,Cenpu,,2.246270719168144e-59
2991,Azi2,,1.4628041318667922e-59,Azi2,,1.4628041318667922e-59
2992,Frrs1,,3.8673943502368353e-59,Frrs1,,3.8673943502368353e-59
2993,Stx6,,1.474653950471058e-59,Stx6,,1.474653950471058e-59
2994,Ei24,,2.039497101309243e-59,Ei24,,2.039497101309243e-59
2995,Mocs2,,1.6094806000414011e-59,Mocs2,,1.6094806000414011e-59
2996,Ptges3l,,2.3120484361405296e-59,Ptges3l,,2.3120484361405296e-59
2997,Sycp1,,5.537157201726246e-58,Sycp1,,5.537157201726246e-58
2998,Ptpn12,,2.6913590959195055e-59,Ptpn12,,2.6913590959195055e-59
2999,Commd2,,1.8619116319302273e-59,Commd2,,1.8619116319302273e-59
3000,Phlda2,,5.3357981984579875e-58,Phlda2,,5.3357981984579875e-58
3001,Fam117a,,2.126976525358337e-58,Fam117a,,2.126976525358337e-58
3002,Atp1b3,,2.184652233510765e-59,Atp1b3,,2.184652233510765e-59
3003,Pold2,,2.9498937216099962e-59,Pold2,,2.9498937216099962e-59
3004,Clcnkb,,7.7191441579271e-58,Clcnkb,,7.7191441579271e-58
3005,Rps19bp1,,3.0918081872816874e-59,Rps19bp1,,3.0918081872816874e-59
3006,Rsrp1,,3.454170117627318e-59,Rsrp1,,3.454170117627318e-59
3007,Btbd2,,6.2498885679118035e-59,Btbd2,,6.2498885679118035e-59
3008,Stxbp1,,5.539610709284281e-59,Stxbp1,,5.539610709284281e-59
3009,Desi1,,3.33846516178202e-59,Desi1,,3.33846516178202e-59
3010,Gyg,,3.5051987806148977e-59,Gyg,,3.5051987806148977e-59
3011,Rassf7,,9.000607468385682e-59,Rassf7,,9.000607468385682e-59
3012,Actr2,,4.214484741430417e-59,Actr2,,4.214484741430417e-59
3013,Ano10,,7.866241474809503e-59,Ano10,,7.866241474809503e-59
3014,Pcdh18,,2.2971098538703458e-58,Pcdh18,,2.2971098538703458e-58
3015,Bhlhe40,,6.049750106532154e-59,Bhlhe40,,6.049750106532154e-59
3016,Nubpl,,1.0981863499712299e-58,Nubpl,,1.0981863499712299e-58
3017,Insig2,,5.953505866441638e-59,Insig2,,5.953505866441638e-59
3018,Micu1,,6.9394963423844185e-59,Micu1,,6.9394963423844185e-59
3019,Fam122b,,5.017273304886625e-58,Fam122b,,5.017273304886625e-58
3020,Ppa2,,8.44036118164858e-59,Ppa2,,8.44036118164858e-59
3021,Spred1,,1.0999151177646872e-58,Spred1,,1.0999151177646872e-58
3022,BC030867,,2.2917731692295428e-58,BC030867,,2.2917731692295428e-58
3023,Dlg4,,1.9605176317798098e-58,Dlg4,,1.9605176317798098e-58
3024,Cd151,,7.3679780855839205e-59,Cd151,,7.3679780855839205e-59
3025,Gm35986,,1.9129918037853084e-57,Gm35986,,1.9129918037853084e-57
3026,Lgals3,,7.470567515128283e-59,Lgals3,,7.470567515128283e-59
3027,Tab2,,9.246645381841807e-59,Tab2,,9.246645381841807e-59
3028,Prdx6,,8.071166329906051e-59,Prdx6,,8.071166329906051e-59
3029,Trmt1,,1.1597266180511693e-58,Trmt1,,1.1597266180511693e-58
3030,2310011J03Rik,,8.150323879295013e-59,2310011J03Rik,,8.150323879295013e-59
3031,Dennd5a,,9.941341410024018e-59,Dennd5a,,9.941341410024018e-59
3032,Plcg2,,1.40278142719471e-57,Plcg2,,1.40278142719471e-57
3033,Acaa2,,8.719973999229967e-59,Acaa2,,8.719973999229967e-59
3034,Purb,,1.0658737679440016e-58,Purb,,1.0658737679440016e-58
3035,Cdkn2b,,9.992880876977302e-59,Cdkn2b,,9.992880876977302e-59
3036,Procr,,2.0379093166936007e-58,Procr,,2.0379093166936007e-58
3037,Sapcd1,,3.2421940507730543e-57,Sapcd1,,3.2421940507730543e-57
3038,Ndrg4,,2.8961429445450048e-58,Ndrg4,,2.8961429445450048e-58
3039,H2-Eb1,,3.110863388348141e-57,H2-Eb1,,3.110863388348141e-57
3040,St6galnac6,,2.2869617923051897e-58,St6galnac6,,2.2869617923051897e-58
3041,Abi1,,1.457223084068141e-58,Abi1,,1.457223084068141e-58
3042,Ginm1,,1.3839655337398343e-58,Ginm1,,1.3839655337398343e-58
3043,Smarce1,,1.635182817417523e-58,Smarce1,,1.635182817417523e-58
3044,Meis2,,2.039932945814267e-58,Meis2,,2.039932945814267e-58
3045,Tnip1,,3.7040245181953764e-58,Tnip1,,3.7040245181953764e-58
3046,Inppl1,,2.349256532829498e-58,Inppl1,,2.349256532829498e-58
3047,Ddost,,2.159443503236402e-58,Ddost,,2.159443503236402e-58
3048,Prelid2,,4.910417766124924e-58,Prelid2,,4.910417766124924e-58
3049,Ugcg,,3.472851070471182e-58,Ugcg,,3.472851070471182e-58
3050,Dnajc1,,2.5203887920649856e-58,Dnajc1,,2.5203887920649856e-58
3051,Ppfibp2,,6.006718977601337e-57,Ppfibp2,,6.006718977601337e-57
3052,Gmfb,,2.534828226939715e-58,Gmfb,,2.534828226939715e-58
3053,Nsmf,,7.423321286790072e-58,Nsmf,,7.423321286790072e-58
3054,Trim16,,4.898052395144678e-58,Trim16,,4.898052395144678e-58
3055,Plcb3,,5.2294748045768486e-58,Plcb3,,5.2294748045768486e-58
3056,Rasal2,,7.940827386296186e-58,Rasal2,,7.940827386296186e-58
3057,Iah1,,7.539994818623705e-58,Iah1,,7.539994818623705e-58
3058,Cenpw,,6.042215444172823e-58,Cenpw,,6.042215444172823e-58
3059,Maoa,,6.2005455558746524e-58,Maoa,,6.2005455558746524e-58
3060,Sar1b,,6.260093280773939e-58,Sar1b,,6.260093280773939e-58
3061,Smarcd3,,1.0174776661833892e-57,Smarcd3,,1.0174776661833892e-57
3062,Nt5m,,8.739025440484962e-58,Nt5m,,8.739025440484962e-58
3063,Atp13a3,,8.105832842209393e-58,Atp13a3,,8.105832842209393e-58
3064,Rin1,,1.4681720246036212e-57,Rin1,,1.4681720246036212e-57
3065,Nfyc,,1.1534883103842514e-57,Nfyc,,1.1534883103842514e-57
3066,Agk,,1.7949010874209773e-57,Agk,,1.7949010874209773e-57
3067,Ccl7,,7.971464080229459e-58,Ccl7,,7.971464080229459e-58
