,D0_n,D0_l,D0_p,iPSCs_n,iPSCs_l,iPSCs_p
7904,Mvb12a,,1.84903641733235e-08,Mvb12a,,1.84903641733235e-08
7905,Pigw,,1.8529726591233262e-08,Pigw,,1.8529726591233262e-08
7906,Pkd2l1,,1.95589523657933e-08,Pkd2l1,,1.95589523657933e-08
7907,Xndc1,,1.882868691593467e-08,Xndc1,,1.882868691593467e-08
7908,Gm14403,,1.9145690131575284e-08,Gm14403,,1.9145690131575284e-08
7909,Gem,,1.889587564850218e-08,Gem,,1.889587564850218e-08
7910,Sh2b1,,1.8991673211111538e-08,Sh2b1,,1.8991673211111538e-08
7911,Mical3,,1.9024598514626353e-08,Mical3,,1.9024598514626353e-08
7912,Dhx37,,1.920942014613685e-08,Dhx37,,1.920942014613685e-08
7913,Npr3,,1.906128612207844e-08,Npr3,,1.906128612207844e-08
7914,Zbtb17,,1.929726138965039e-08,Zbtb17,,1.929726138965039e-08
7915,Slc22a17,,1.9343715626764623e-08,Slc22a17,,1.9343715626764623e-08
7916,Cep350,,1.9394695866739326e-08,Cep350,,1.9394695866739326e-08
7917,Uvssa,,1.950833059043055e-08,Uvssa,,1.950833059043055e-08
7918,Prkar1b,,1.9630831606634255e-08,Prkar1b,,1.9630831606634255e-08
7919,Naaa,,1.971060141078984e-08,Naaa,,1.971060141078984e-08
7920,Tpx2,,1.973495541923123e-08,Tpx2,,1.973495541923123e-08
7921,Oaz2,,1.9816150904268074e-08,Oaz2,,1.9816150904268074e-08
7922,Ddx55,,1.9903851045854022e-08,Ddx55,,1.9903851045854022e-08
7923,Cacna1g,,2.0151266293629677e-08,Cacna1g,,2.0151266293629677e-08
7924,Golga7,,2.0048306465057352e-08,Golga7,,2.0048306465057352e-08
7925,Itgb7,,2.097055607489815e-08,Itgb7,,2.097055607489815e-08
7926,Fsd1,,2.064520758942724e-08,Fsd1,,2.064520758942724e-08
7927,Cspg5,,2.113936358449349e-08,Cspg5,,2.113936358449349e-08
7928,Gm9881,,2.1807734662349222e-08,Gm9881,,2.1807734662349222e-08
7929,Dyrk4,,2.1910630923730587e-08,Dyrk4,,2.1910630923730587e-08
7930,E130308A19Rik,,2.1088032225952173e-08,E130308A19Rik,,2.1088032225952173e-08
7931,9130230L23Rik,,2.1899122409827854e-08,9130230L23Rik,,2.1899122409827854e-08
7932,Cyfip2,,2.186949194820749e-08,Cyfip2,,2.186949194820749e-08
7933,Gtf2a1,,2.1424735433481144e-08,Gtf2a1,,2.1424735433481144e-08
7934,Akr1cl,,2.2442949284069917e-08,Akr1cl,,2.2442949284069917e-08
7935,Fam65c,,2.151333494359859e-08,Fam65c,,2.151333494359859e-08
7936,Lhx2,,2.2176886325107442e-08,Lhx2,,2.2176886325107442e-08
7937,Gli2,,2.1629839959179488e-08,Gli2,,2.1629839959179488e-08
7938,Gm6563,,2.1679141222980547e-08,Gm6563,,2.1679141222980547e-08
7939,D10Jhu81e,,2.1679141222980547e-08,D10Jhu81e,,2.1679141222980547e-08
7940,Gm17518,,2.2354655435558086e-08,Gm17518,,2.2354655435558086e-08
7941,Cfap53,,2.3061184474697943e-08,Cfap53,,2.3061184474697943e-08
7942,Tmc8,,2.306027556972355e-08,Tmc8,,2.306027556972355e-08
7943,Adgrb2,,2.2586170742973162e-08,Adgrb2,,2.2586170742973162e-08
7944,Gstz1,,2.244664218676043e-08,Gstz1,,2.244664218676043e-08
7945,Alpk1,,2.2864740895012804e-08,Alpk1,,2.2864740895012804e-08
7946,Nfxl1,,2.2835419477471103e-08,Nfxl1,,2.2835419477471103e-08
7947,Mcam,,2.3385961335391062e-08,Mcam,,2.3385961335391062e-08
7948,Trabd2b,,2.4039867737936956e-08,Trabd2b,,2.4039867737936956e-08
7949,Aarsd1,,2.4070554471886966e-08,Aarsd1,,2.4070554471886966e-08
7950,Aph1c,,2.487857514389111e-08,Aph1c,,2.487857514389111e-08
7951,Ephx1,,2.3978020236511204e-08,Ephx1,,2.3978020236511204e-08
7952,4930539E08Rik,,2.5809734893467607e-08,4930539E08Rik,,2.5809734893467607e-08
7953,Cox6a2,,2.5673660946233565e-08,Cox6a2,,2.5673660946233565e-08
7954,Galnt7,,2.4753176482575323e-08,Galnt7,,2.4753176482575323e-08
7955,Iglon5,,2.504500237010148e-08,Iglon5,,2.504500237010148e-08
7956,Gm11627,,2.5171860553505856e-08,Gm11627,,2.5171860553505856e-08
7957,Pebp1,,2.5063953942038118e-08,Pebp1,,2.5063953942038118e-08
7958,4932438A13Rik,,2.520091529450504e-08,4932438A13Rik,,2.520091529450504e-08
7959,Nsmce1,,2.535423853371872e-08,Nsmce1,,2.535423853371872e-08
7960,Atp1b2,,2.6283647091874622e-08,Atp1b2,,2.6283647091874622e-08
7961,Tmem54,,2.6125097366973883e-08,Tmem54,,2.6125097366973883e-08
7962,Ubap1l,,2.7138473242329796e-08,Ubap1l,,2.7138473242329796e-08
7963,Slc2a7,,2.736277225084234e-08,Slc2a7,,2.736277225084234e-08
7964,Fam205c,,2.7813102311531004e-08,Fam205c,,2.7813102311531004e-08
7965,Arhgef10l,,2.705011320629504e-08,Arhgef10l,,2.705011320629504e-08
7966,Eif5b,,2.7257728781591497e-08,Eif5b,,2.7257728781591497e-08
7967,Neo1,,2.7278002156918986e-08,Neo1,,2.7278002156918986e-08
7968,Grk4,,2.7494278320610117e-08,Grk4,,2.7494278320610117e-08
7969,Tspan33,,2.8031016127427272e-08,Tspan33,,2.8031016127427272e-08
7970,Nipbl,,2.7345343410826035e-08,Nipbl,,2.7345343410826035e-08
7971,2810403A07Rik,,2.752237193840669e-08,2810403A07Rik,,2.752237193840669e-08
7972,Gm16740,,2.8479154800252316e-08,Gm16740,,2.8479154800252316e-08
7973,Eif2c5,,2.9770494565317525e-08,Eif2c5,,2.9770494565317525e-08
7974,Timm50,,2.9149553403528567e-08,Timm50,,2.9149553403528567e-08
7975,Suv39h2,,2.9302018034181795e-08,Suv39h2,,2.9302018034181795e-08
7976,Pitpnm3,,2.992672789999616e-08,Pitpnm3,,2.992672789999616e-08
7977,Casp3,,3.034373018511099e-08,Casp3,,3.034373018511099e-08
7978,Sesn1,,3.0213249622084486e-08,Sesn1,,3.0213249622084486e-08
7979,Med8,,3.002946650430111e-08,Med8,,3.002946650430111e-08
7980,Emc1,,3.050277314719133e-08,Emc1,,3.050277314719133e-08
7981,Slc5a4b,,3.229318187137585e-08,Slc5a4b,,3.229318187137585e-08
7982,Snai3,,3.2180448327486686e-08,Snai3,,3.2180448327486686e-08
7983,Ufsp1,,3.139819818800438e-08,Ufsp1,,3.139819818800438e-08
7984,Trrap,,3.125172563423396e-08,Trrap,,3.125172563423396e-08
7985,Clca3b,,3.392292601612322e-08,Clca3b,,3.392292601612322e-08
7986,Galc,,3.282152785729306e-08,Galc,,3.282152785729306e-08
7987,Amn1,,3.2916065530467287e-08,Amn1,,3.2916065530467287e-08
7988,Grpel2,,3.33437707468288e-08,Grpel2,,3.33437707468288e-08
7989,Szrd1,,3.345557805662956e-08,Szrd1,,3.345557805662956e-08
7990,Lrrfip2,,3.3603156821505594e-08,Lrrfip2,,3.3603156821505594e-08
7991,Mad2l1bp,,3.3805247569766056e-08,Mad2l1bp,,3.3805247569766056e-08
7992,Ppp2r5c,,3.377071277294811e-08,Ppp2r5c,,3.377071277294811e-08
7993,Gtf3c2,,3.416186062587933e-08,Gtf3c2,,3.416186062587933e-08
7994,Ulk4,,3.4727732256194226e-08,Ulk4,,3.4727732256194226e-08
7995,1700028K03Rik,,3.584461558761383e-08,1700028K03Rik,,3.584461558761383e-08
7996,Smc4,,3.4343643931604126e-08,Smc4,,3.4343643931604126e-08
7997,Stard4,,3.450618786438134e-08,Stard4,,3.450618786438134e-08
7998,Elovl2,,3.6234923019274266e-08,Elovl2,,3.6234923019274266e-08
7999,Scarb2,,3.536206208982246e-08,Scarb2,,3.536206208982246e-08
8000,Zkscan1,,3.540871645414919e-08,Zkscan1,,3.540871645414919e-08
8001,Gm14230,,3.7047833545412156e-08,Gm14230,,3.7047833545412156e-08
8002,Notumos,,3.719278431747516e-08,Notumos,,3.719278431747516e-08
8003,Nbr1,,3.6110189019002993e-08,Nbr1,,3.6110189019002993e-08
8004,Rpa1,,3.606222273013456e-08,Rpa1,,3.606222273013456e-08
8005,Cbx3,,3.620332719627259e-08,Cbx3,,3.620332719627259e-08
8006,Sipa1l2,,3.648043019206789e-08,Sipa1l2,,3.648043019206789e-08
8007,Tab1,,3.681061738766161e-08,Tab1,,3.681061738766161e-08
8008,Pnpt1,,3.6906615878685815e-08,Pnpt1,,3.6906615878685815e-08
8009,Phf6,,3.709784520202959e-08,Phf6,,3.709784520202959e-08
8010,A930004D18Rik,,3.7831805593392146e-08,A930004D18Rik,,3.7831805593392146e-08
8011,Gp1bb,,3.7830490496312476e-08,Gp1bb,,3.7830490496312476e-08
8012,Ppfia4,,3.8517854834160926e-08,Ppfia4,,3.8517854834160926e-08
8013,4930432K21Rik,,3.8767854455035966e-08,4930432K21Rik,,3.8767854455035966e-08
8014,2310039L15Rik,,3.9828007345259023e-08,2310039L15Rik,,3.9828007345259023e-08
8015,Naip1,,3.999850887985514e-08,Naip1,,3.999850887985514e-08
8016,Vav2,,3.825007398822883e-08,Vav2,,3.825007398822883e-08
8017,1810043G02Rik,,3.8517854834160926e-08,1810043G02Rik,,3.8517854834160926e-08
8018,Zdhhc2,,3.852258774784965e-08,Zdhhc2,,3.852258774784965e-08
8019,Dusp16,,3.8821326819860566e-08,Dusp16,,3.8821326819860566e-08
8020,Mmachc,,3.931927740826292e-08,Mmachc,,3.931927740826292e-08
8021,Rab19,,4.1242616872162645e-08,Rab19,,4.1242616872162645e-08
8022,Ttc34,,4.147790082880462e-08,Ttc34,,4.147790082880462e-08
8023,Mknk1,,4.007366081856611e-08,Mknk1,,4.007366081856611e-08
8024,Fbxl16,,4.055613650703359e-08,Fbxl16,,4.055613650703359e-08
8025,Pcdhga12,,4.060870554500715e-08,Pcdhga12,,4.060870554500715e-08
8026,Efcab12,,4.2424899868720923e-08,Efcab12,,4.2424899868720923e-08
8027,Manba,,4.088690323452533e-08,Manba,,4.088690323452533e-08
8028,Arl5b,,4.0742703959608587e-08,Arl5b,,4.0742703959608587e-08
8029,Pex12,,4.076620153165719e-08,Pex12,,4.076620153165719e-08
8030,Sh3rf2,,4.230287497723429e-08,Sh3rf2,,4.230287497723429e-08
8031,1700124L16Rik,,4.1845431414754854e-08,1700124L16Rik,,4.1845431414754854e-08
8032,Lancl2,,4.077001673959938e-08,Lancl2,,4.077001673959938e-08
8033,Slc25a37,,4.107840849803353e-08,Slc25a37,,4.107840849803353e-08
8034,Rbm3,,4.139011550163091e-08,Rbm3,,4.139011550163091e-08
8035,1700112E06Rik,,4.2687299683647064e-08,1700112E06Rik,,4.2687299683647064e-08
8036,Iigp1,,4.2721448657783876e-08,Iigp1,,4.2721448657783876e-08
8037,Aktip,,4.191975414628738e-08,Aktip,,4.191975414628738e-08
8038,Slc25a29,,4.241716842163519e-08,Slc25a29,,4.241716842163519e-08
8039,Ntm,,4.3739967634932965e-08,Ntm,,4.3739967634932965e-08
8040,Afap1l2,,4.309909986404188e-08,Afap1l2,,4.309909986404188e-08
8041,Aars,,4.2627668058531144e-08,Aars,,4.2627668058531144e-08
8042,Adgrl4,,4.366282258133307e-08,Adgrl4,,4.366282258133307e-08
8043,Mau2,,4.309909986404188e-08,Mau2,,4.309909986404188e-08
8044,Xrn1,,4.3118900409685867e-08,Xrn1,,4.3118900409685867e-08
8045,Lonrf1,,4.364303090752133e-08,Lonrf1,,4.364303090752133e-08
8046,Fam135a,,4.334210401993932e-08,Fam135a,,4.334210401993932e-08
8047,Aasdhppt,,4.3565361485065626e-08,Aasdhppt,,4.3565361485065626e-08
8048,Acot1,,4.547377854975684e-08,Acot1,,4.547377854975684e-08
8049,Mertk,,4.61119848804396e-08,Mertk,,4.61119848804396e-08
8050,Cacng6,,4.873572166147794e-08,Cacng6,,4.873572166147794e-08
8051,Aldh1a7,,4.729577872681765e-08,Aldh1a7,,4.729577872681765e-08
8052,Tcaf2,,4.665980537713186e-08,Tcaf2,,4.665980537713186e-08
8053,Gm4737,,4.724825456621268e-08,Gm4737,,4.724825456621268e-08
8054,Atf7,,4.7065415244458475e-08,Atf7,,4.7065415244458475e-08
8055,Tbc1d10a,,4.725292564667576e-08,Tbc1d10a,,4.725292564667576e-08
8056,Shank1,,4.9859530818387875e-08,Shank1,,4.9859530818387875e-08
8057,Syt11,,4.988719469117669e-08,Syt11,,4.988719469117669e-08
8058,Spred2,,4.990221507451283e-08,Spred2,,4.990221507451283e-08
8059,Gm16549,,5.272488578112141e-08,Gm16549,,5.272488578112141e-08
8060,Pddc1,,5.041574168263487e-08,Pddc1,,5.041574168263487e-08
8061,Dusp15,,5.182403931427785e-08,Dusp15,,5.182403931427785e-08
8062,Eif3j2,,5.1131317361162674e-08,Eif3j2,,5.1131317361162674e-08
8063,Spats2,,5.096883052931717e-08,Spats2,,5.096883052931717e-08
8064,Myo15b,,5.4411043794374034e-08,Myo15b,,5.4411043794374034e-08
8065,D930015E06Rik,,5.24935937970649e-08,D930015E06Rik,,5.24935937970649e-08
8066,Sumo1,,5.227018179486138e-08,Sumo1,,5.227018179486138e-08
8067,Polr2b,,5.4202880988772185e-08,Polr2b,,5.4202880988772185e-08
8068,Gnpnat1,,5.461551045025049e-08,Gnpnat1,,5.461551045025049e-08
8069,Myo1b,,5.495058987683369e-08,Myo1b,,5.495058987683369e-08
8070,Magea10,,5.777438391144103e-08,Magea10,,5.777438391144103e-08
8071,Tex40,,5.708438205925531e-08,Tex40,,5.708438205925531e-08
8072,Cpt2,,5.570408369585622e-08,Cpt2,,5.570408369585622e-08
8073,Irak3,,5.773046465659686e-08,Irak3,,5.773046465659686e-08
8074,Gm14326,,5.728810951226311e-08,Gm14326,,5.728810951226311e-08
8075,Macf1,,5.702287365986852e-08,Macf1,,5.702287365986852e-08
8076,Hnf1a,,6.041858312558299e-08,Hnf1a,,6.041858312558299e-08
8077,Ncapg2,,5.7544104725316075e-08,Ncapg2,,5.7544104725316075e-08
8078,Rabggta,,5.806281662967141e-08,Rabggta,,5.806281662967141e-08
8079,Rint1,,5.816669318756953e-08,Rint1,,5.816669318756953e-08
8080,Zfp62,,5.86822113543174e-08,Zfp62,,5.86822113543174e-08
8081,Brpf3,,5.983370809225513e-08,Brpf3,,5.983370809225513e-08
8082,Kti12,,5.968939045457214e-08,Kti12,,5.968939045457214e-08
8083,9030407P20Rik,,6.061926091126871e-08,9030407P20Rik,,6.061926091126871e-08
8084,Rassf10,,6.316157302300447e-08,Rassf10,,6.316157302300447e-08
8085,Xpot,,6.081440421109649e-08,Xpot,,6.081440421109649e-08
8086,Sdhaf4,,6.315377371477474e-08,Sdhaf4,,6.315377371477474e-08
8087,Mfsd8,,6.334891057975257e-08,Mfsd8,,6.334891057975257e-08
8088,Fam72a,,6.375954973137022e-08,Fam72a,,6.375954973137022e-08
8089,Vps13c,,6.423592711832021e-08,Vps13c,,6.423592711832021e-08
8090,Fabp3-ps1,,6.569790715928484e-08,Fabp3-ps1,,6.569790715928484e-08
8091,Ccdc163,,6.406242450660626e-08,Ccdc163,,6.406242450660626e-08
8092,Psat1,,6.426382423615172e-08,Psat1,,6.426382423615172e-08
8093,Wrn,,6.486456859131881e-08,Wrn,,6.486456859131881e-08
8094,C330027C09Rik,,6.543304939045652e-08,C330027C09Rik,,6.543304939045652e-08
8095,Csnk2a2,,6.569790715928484e-08,Csnk2a2,,6.569790715928484e-08
8096,Tmem144,,6.661515418381205e-08,Tmem144,,6.661515418381205e-08
8097,Tmem9,,6.60774501423383e-08,Tmem9,,6.60774501423383e-08
8098,2310015K22Rik,,6.966208616120413e-08,2310015K22Rik,,6.966208616120413e-08
8099,Kat5,,6.750393075597246e-08,Kat5,,6.750393075597246e-08
8100,Nlrx1,,6.82138109594255e-08,Nlrx1,,6.82138109594255e-08
8101,Ubap2,,6.79817374431569e-08,Ubap2,,6.79817374431569e-08
8102,Nova2,,7.04918129764938e-08,Nova2,,7.04918129764938e-08
8103,Ftsj3,,6.818165001754655e-08,Ftsj3,,6.818165001754655e-08
8104,Haus3,,6.849800705396607e-08,Haus3,,6.849800705396607e-08
8105,Gpr85,,7.022504528933261e-08,Gpr85,,7.022504528933261e-08
8106,Gm14661,,7.287021953408177e-08,Gm14661,,7.287021953408177e-08
8107,Rax,,7.321937658844385e-08,Rax,,7.321937658844385e-08
8108,Cbwd1,,7.11532889719891e-08,Cbwd1,,7.11532889719891e-08
8109,Sdf2l1,,7.168875441086017e-08,Sdf2l1,,7.168875441086017e-08
8110,Snca,,7.21626290591707e-08,Snca,,7.21626290591707e-08
8111,Spin4,,7.270463491766666e-08,Spin4,,7.270463491766666e-08
8112,Zranb1,,7.24635383934972e-08,Zranb1,,7.24635383934972e-08
8113,Zc3h18,,7.460102434781697e-08,Zc3h18,,7.460102434781697e-08
8114,Rpl34,,7.474035478204926e-08,Rpl34,,7.474035478204926e-08
8115,Plk5,,8.000540461188825e-08,Plk5,,8.000540461188825e-08
8116,Eng,,7.718710528094034e-08,Eng,,7.718710528094034e-08
8117,Hjurp,,7.681741189535867e-08,Hjurp,,7.681741189535867e-08
8118,Adck4,,7.72362278379984e-08,Adck4,,7.72362278379984e-08
8119,2900093K20Rik,,7.8589487538399e-08,2900093K20Rik,,7.8589487538399e-08
8120,Fam131c,,7.974332580150247e-08,Fam131c,,7.974332580150247e-08
8121,B4galt4,,7.823495539205577e-08,B4galt4,,7.823495539205577e-08
8122,Nnmt,,7.979307256008032e-08,Nnmt,,7.979307256008032e-08
8123,Mesp2,,8.187718701757911e-08,Mesp2,,8.187718701757911e-08
8124,Gm26510,,8.202565409405626e-08,Gm26510,,8.202565409405626e-08
8125,Cog2,,7.894734410075473e-08,Cog2,,7.894734410075473e-08
8126,Sh3bp2,,8.117871177994758e-08,Sh3bp2,,8.117871177994758e-08
8127,AI987944,,8.089395177284741e-08,AI987944,,8.089395177284741e-08
8128,Clcn2,,8.225928244029901e-08,Clcn2,,8.225928244029901e-08
8129,Tlr6,,8.289452277488299e-08,Tlr6,,8.289452277488299e-08
8130,RP23-370I17.3,,8.538928339769109e-08,RP23-370I17.3,,8.538928339769109e-08
8131,Ino80e,,8.20236165322268e-08,Ino80e,,8.20236165322268e-08
8132,Spen,,8.242156233514843e-08,Spen,,8.242156233514843e-08
8133,Sqrdl,,8.280076245201582e-08,Sqrdl,,8.280076245201582e-08
8134,Ube2n,,8.338103604904449e-08,Ube2n,,8.338103604904449e-08
8135,Ap4m1,,8.478312845607614e-08,Ap4m1,,8.478312845607614e-08
8136,Exph5,,8.833600255654576e-08,Exph5,,8.833600255654576e-08
8137,1010001B22Rik,,8.827652291945493e-08,1010001B22Rik,,8.827652291945493e-08
8138,Angel2,,8.488050387705383e-08,Angel2,,8.488050387705383e-08
8139,Tktl2,,8.948353109489218e-08,Tktl2,,8.948353109489218e-08
8140,Nat6,,8.584928230900078e-08,Nat6,,8.584928230900078e-08
8141,Zfp182,,8.825645709578903e-08,Zfp182,,8.825645709578903e-08
8142,Armc8,,8.847097711439584e-08,Armc8,,8.847097711439584e-08
8143,Kif16b,,8.971821769691141e-08,Kif16b,,8.971821769691141e-08
8144,Ankrd16,,8.904559962444617e-08,Ankrd16,,8.904559962444617e-08
8145,2900052N01Rik,,9.334271187969999e-08,2900052N01Rik,,9.334271187969999e-08
8146,Lactb,,8.96328230553111e-08,Lactb,,8.96328230553111e-08
8147,Has1,,9.149305503473158e-08,Has1,,9.149305503473158e-08
8148,9130221H12Rik,,9.004007762730329e-08,9130221H12Rik,,9.004007762730329e-08
8149,4930504O13Rik,,9.47020121275444e-08,4930504O13Rik,,9.47020121275444e-08
8150,Tro,,9.162295367609658e-08,Tro,,9.162295367609658e-08
8151,Flt4,,9.397075163455345e-08,Flt4,,9.397075163455345e-08
8152,Hrct1,,9.276210605243275e-08,Hrct1,,9.276210605243275e-08
8153,Armc5,,9.272544083795433e-08,Armc5,,9.272544083795433e-08
8154,Hgs,,9.346801781266657e-08,Hgs,,9.346801781266657e-08
8155,Ppfia1,,9.351261639448547e-08,Ppfia1,,9.351261639448547e-08
8156,Xpnpep1,,9.365457491044098e-08,Xpnpep1,,9.365457491044098e-08
8157,Necap1,,9.441206899657633e-08,Necap1,,9.441206899657633e-08
8158,Daglb,,9.48487379320495e-08,Daglb,,9.48487379320495e-08
8159,Tmem120b,,9.693211655427767e-08,Tmem120b,,9.693211655427767e-08
8160,Tifa,,9.856084370984006e-08,Tifa,,9.856084370984006e-08
8161,Ajuba,,1.0072873118663605e-07,Ajuba,,1.0072873118663605e-07
8162,Hyal3,,1.0445206719889958e-07,Hyal3,,1.0445206719889958e-07
8163,Usf1,,1.031353091979851e-07,Usf1,,1.031353091979851e-07
8164,Lmbr1,,1.0337687422840232e-07,Lmbr1,,1.0337687422840232e-07
8165,Armt1,,1.0458700570019137e-07,Armt1,,1.0458700570019137e-07
8166,Qpctl,,1.0627695956809656e-07,Qpctl,,1.0627695956809656e-07
8167,Safb2,,1.0676478339619376e-07,Safb2,,1.0676478339619376e-07
8168,Homer2,,1.0755399872727458e-07,Homer2,,1.0755399872727458e-07
8169,Gm10522,,1.1131575795656946e-07,Gm10522,,1.1131575795656946e-07
8170,1810014B01Rik,,1.1005420050029612e-07,1810014B01Rik,,1.1005420050029612e-07
8171,Galnt9,,1.1128735842407801e-07,Galnt9,,1.1128735842407801e-07
8172,2900060B14Rik,,1.1163884635231942e-07,2900060B14Rik,,1.1163884635231942e-07
8173,Btg1,,1.0995635326550169e-07,Btg1,,1.0995635326550169e-07
8174,AW011738,,1.1223123227017152e-07,AW011738,,1.1223123227017152e-07
8175,Slc16a4,,1.1156537947243025e-07,Slc16a4,,1.1156537947243025e-07
8176,Galk2,,1.1207355940364453e-07,Galk2,,1.1207355940364453e-07
8177,Chd2,,1.1326880406572876e-07,Chd2,,1.1326880406572876e-07
8178,Zfp426,,1.131775936392406e-07,Zfp426,,1.131775936392406e-07
8179,Snhg7os,,1.163055304863454e-07,Snhg7os,,1.163055304863454e-07
8180,Gas2,,1.1326124407476047e-07,Gas2,,1.1326124407476047e-07
8181,Bpifb1,,1.1905793906711427e-07,Bpifb1,,1.1905793906711427e-07
8182,Mtl5,,1.1654657647136026e-07,Mtl5,,1.1654657647136026e-07
8183,Hist1h4i,,1.1426185189133253e-07,Hist1h4i,,1.1426185189133253e-07
8184,Gm16536,,1.158622001478652e-07,Gm16536,,1.158622001478652e-07
8185,Rab8a,,1.1877224885667746e-07,Rab8a,,1.1877224885667746e-07
8186,Clec14a,,1.211894821804337e-07,Clec14a,,1.211894821804337e-07
8187,0610009B22Rik,,1.1944912999175304e-07,0610009B22Rik,,1.1944912999175304e-07
8188,Rabgef1,,1.1969949227578996e-07,Rabgef1,,1.1969949227578996e-07
8189,Gphn,,1.2018836911248437e-07,Gphn,,1.2018836911248437e-07
8190,Rmdn2,,1.2081165974959302e-07,Rmdn2,,1.2081165974959302e-07
8191,Ifi203,,1.2308743538331617e-07,Ifi203,,1.2308743538331617e-07
8192,Acad12,,1.236864360732581e-07,Acad12,,1.236864360732581e-07
8193,Cfap74,,1.248153262865814e-07,Cfap74,,1.248153262865814e-07
8194,Btbd1,,1.2302484733679865e-07,Btbd1,,1.2302484733679865e-07
8195,Zc3h4,,1.232472474397635e-07,Zc3h4,,1.232472474397635e-07
8196,Zbtb24,,1.250678917237334e-07,Zbtb24,,1.250678917237334e-07
8197,Lnx1,,1.3016165842209097e-07,Lnx1,,1.3016165842209097e-07
8198,Arhgef9,,1.2629343921898725e-07,Arhgef9,,1.2629343921898725e-07
8199,Gm6871,,1.3135435571351752e-07,Gm6871,,1.3135435571351752e-07
8200,3300005D01Rik,,1.2786580212556613e-07,3300005D01Rik,,1.2786580212556613e-07
8201,Smpdl3a,,1.2805838513973766e-07,Smpdl3a,,1.2805838513973766e-07
8202,Hist1h3h,,1.3178437683438992e-07,Hist1h3h,,1.3178437683438992e-07
8203,Gm16286,,1.283385499147614e-07,Gm16286,,1.283385499147614e-07
8204,Baz1b,,1.2897059231892495e-07,Baz1b,,1.2897059231892495e-07
8205,Asb5,,1.3139407062827105e-07,Asb5,,1.3139407062827105e-07
8206,Tlx2,,1.352259554153353e-07,Tlx2,,1.352259554153353e-07
8207,Tchp,,1.311806862238755e-07,Tchp,,1.311806862238755e-07
8208,Ndufa4l2,,1.358108367866136e-07,Ndufa4l2,,1.358108367866136e-07
8209,Slc37a1,,1.379211636445257e-07,Slc37a1,,1.379211636445257e-07
8210,Ccdc88c,,1.3977943239741844e-07,Ccdc88c,,1.3977943239741844e-07
8211,Acoxl,,1.3966568620589023e-07,Acoxl,,1.3966568620589023e-07
8212,Banp,,1.3448594832453567e-07,Banp,,1.3448594832453567e-07
8213,Cecr5,,1.3721360641285791e-07,Cecr5,,1.3721360641285791e-07
8214,Tmx4,,1.379953059890134e-07,Tmx4,,1.379953059890134e-07
8215,Hadhb,,1.3903231202831077e-07,Hadhb,,1.3903231202831077e-07
8216,Mrpl48,,1.3968180428027018e-07,Mrpl48,,1.3968180428027018e-07
8217,1700066B19Rik,,1.4269318150521075e-07,1700066B19Rik,,1.4269318150521075e-07
8218,Il1f6,,1.471988279370683e-07,Il1f6,,1.471988279370683e-07
8219,Kcnq2,,1.476502063429451e-07,Kcnq2,,1.476502063429451e-07
8220,Dpp6,,1.4807781563529467e-07,Dpp6,,1.4807781563529467e-07
8221,D130040H23Rik,,1.463192770988655e-07,D130040H23Rik,,1.463192770988655e-07
8222,Dbnl,,1.4467589465534122e-07,Dbnl,,1.4467589465534122e-07
8223,BC100451,,1.4663894059936278e-07,BC100451,,1.4663894059936278e-07
8224,1700026L06Rik,,1.475123084163754e-07,1700026L06Rik,,1.475123084163754e-07
8225,Gabrb3,,1.5085053149199432e-07,Gabrb3,,1.5085053149199432e-07
8226,Bend7,,1.5497027344585533e-07,Bend7,,1.5497027344585533e-07
8227,Gm15987,,1.5510216405443303e-07,Gm15987,,1.5510216405443303e-07
8228,Gm26830,,1.5404605958596734e-07,Gm26830,,1.5404605958596734e-07
8229,Zfp811,,1.5330839837559423e-07,Zfp811,,1.5330839837559423e-07
8230,Usp33,,1.5188586331417195e-07,Usp33,,1.5188586331417195e-07
8231,Wbp5,,1.5293699578615594e-07,Wbp5,,1.5293699578615594e-07
8232,Dhodh,,1.5348225152985586e-07,Dhodh,,1.5348225152985586e-07
8233,Grhl1,,1.6004132837427379e-07,Grhl1,,1.6004132837427379e-07
8234,Tmem59l,,1.5788691486001748e-07,Tmem59l,,1.5788691486001748e-07
8235,Pola2,,1.5549781159501077e-07,Pola2,,1.5549781159501077e-07
8236,Zfp472,,1.5783639019836966e-07,Zfp472,,1.5783639019836966e-07
8237,Dact1,,1.5788691486001748e-07,Dact1,,1.5788691486001748e-07
8238,Fggy,,1.5798576166062384e-07,Fggy,,1.5798576166062384e-07
8239,Orai1,,1.6025164702968132e-07,Orai1,,1.6025164702968132e-07
8240,Oas1g,,1.639714432884744e-07,Oas1g,,1.639714432884744e-07
8241,Pcgf2,,1.6046667634961575e-07,Pcgf2,,1.6046667634961575e-07
8242,Ebna1bp2,,1.6192724677219037e-07,Ebna1bp2,,1.6192724677219037e-07
8243,Map2k4,,1.6188160241901815e-07,Map2k4,,1.6188160241901815e-07
8244,Rangrf,,1.6305092377845288e-07,Rangrf,,1.6305092377845288e-07
8245,Dtx4,,1.6480424153877545e-07,Dtx4,,1.6480424153877545e-07
8246,Cenpt,,1.6554828839563867e-07,Cenpt,,1.6554828839563867e-07
8247,Prmt10,,1.6714423880353364e-07,Prmt10,,1.6714423880353364e-07
